x,y,words
69.44054,36.13776,entspricht
72.36221,35.815758,bildern
58.448093,34.00471,ausstattung
28.764147,-23.069847,chris
47.76525,-4.3485904,wunderbare
60.132744,8.332096,unseres
38.609383,31.424784,gegeben
65.59369,15.551532,um
44.825264,10.426307,sicht
59.060776,16.579079,eines
20.112698,20.047241,local
13.730739,35.960697,lift
59.50232,25.665573,lautstarke
65.294624,26.476728,gewohnungsbedurftig
73.715614,31.185825,ublich
54.894913,18.606705,wegen
45.864616,19.211525,tollen
0.6500196,12.586673,stay
9.671845,-60.757584,shun
10.780642,15.65729,place
0.3193805,9.187041,week
12.286468,-9.9020815,july
10.806897,15.503923,flat
4.6569676,10.323231,extremely
15.500887,16.486898,located
-36.6505,20.748522,minute
16.326977,20.572187,walk
26.34818,-7.734946,times
32.69498,1.9682896,square
24.869804,-5.68822,central
29.624695,-8.9655695,park
18.710182,19.37924,close
28.573298,8.681772,transfer
5.9313536,4.28267,nice
-8.275588,-3.900339,discreet
4.045537,33.25487,privacy
-33.139,51.77127,point
15.692423,16.507706,locate
0.9939831,27.498972,noisy
-2.5644357,15.382463,night
2.478414,35.857494,room
3.2724667,18.646658,ok
17.344557,4.2281847,perfectly
2.1491094,50.228855,dirty
6.0859256,57.232117,dish
8.708593,51.310062,sheet
4.0173693,50.660572,dust
0.36747235,3.2971654,recommand
6.335681,14.866638,price
13.874816,16.29114,location
74.07866,18.44677,gast
43.32383,-7.7510037,super
78.868126,3.5803714,hatten
67.22764,0.037388578,geklappt
84.35081,6.900637,fand
53.016403,29.384024,bett
61.78297,40.11051,gemutlich
70.854225,25.479588,lieber
49.820885,17.96431,ausserhalb
66.34605,5.092631,gegessen
70.71586,-5.698011,zuhause
61.212036,11.132156,mir
-2.5402293,14.915202,time
-2.5057538,-8.897643,definitely
2.7695084,36.16762,bedroom
-1.7246586,50.995907,smell
12.0949,44.33917,bed
8.586214,50.677525,pillow
-0.7028389,47.870544,horribly
0.83314115,27.291082,loud
-0.117758796,54.855614,bathroom
0.40920782,19.541424,bit
3.3909907,49.97889,mildew
1.1702571,55.41876,shower
3.8691542,41.812702,curtain
16.929974,26.234545,lot
-7.655181,4.7675176,host
-3.6477444,13.105865,let
-0.99110526,15.895589,use
3.8053677,59.138268,kitchen
-13.272064,-1.2448713,helpful
-1.749184,9.605202,money
4.879738,14.803064,afford
-50.32148,39.779354,est
-58.990974,27.534142,hote
-54.616177,29.480946,fois
-61.9435,25.518574,discret
-49.261604,40.25923,et
-61.48698,26.359083,serviable
-50.750103,40.054688,nous
-67.057976,41.016464,avons
-58.615723,37.291203,eu
-38.38338,48.164978,problemes
-49.42216,39.961056,avec
-57.620186,-13.34619,nos
-46.283066,50.013123,bagages
-31.317482,28.019045,bien
-64.99574,36.18402,aide
-32.569286,36.752926,chambre
-28.563133,29.081676,conforme
-22.744017,25.094912,photo
-55.8175,34.410473,elle
-47.126625,39.46002,assez
-50.32619,-39.485332,grande
-49.564297,40.37805,pour
-48.703888,39.851982,tout
-48.408558,39.15672,tres
-33.74402,30.171347,fonctionnel
-47.447605,23.587803,pratique
-31.811361,41.97896,douche
-46.23316,41.034042,effectivement
-45.289455,42.476955,difficile
-50.19412,45.42251,regler
-47.76242,41.113995,mais
-53.683155,-12.003501,en
-52.448315,20.502602,cas
-30.924938,42.26546,chaude
-33.329533,46.98514,salle
-53.651688,-12.011105,de
-30.232918,41.52618,bain
-43.288532,49.26996,suffisamment
-50.073734,39.50754,surtout
-41.456814,13.319965,situe
-57.361744,44.987717,peut
-52.27667,48.46203,etre
-46.978424,39.84349,peu
-4.7371507,43.014317,renovation
0.3196822,11.985319,experience
-8.769817,48.673786,turn
-12.591822,28.46206,nightmare
-6.935493,15.031555,tell
10.573526,15.816895,apt
-14.562641,3.9412138,arrive
-3.947541,14.933151,instead
9.602467,30.331013,key
-16.742582,1.1722597,info
2.9978418,33.783066,shared
5.627078,-3.5248294,friend
0.3661292,19.531597,little
5.7997484,44.884663,wall
4.14762,47.870808,paint
-5.996385,6.9979424,care
10.369621,33.430683,building
2.159426,45.348427,old
4.374609,51.299416,rug
-1.6227149,17.978514,look
1.8976814,50.77745,disgusting
3.9270234,12.688143,spend
-15.770913,26.967869,realise
-0.62863225,48.941456,heavily
21.175253,48.551655,infest
20.45051,48.29805,bug
-10.070004,10.116071,pay
1.8322921,30.140947,sleep
19.575203,47.32911,bite
11.644908,48.94634,clothe
14.9899025,32.662422,baggage
1.6844751,11.986321,travel
-9.147966,29.418932,issue
-21.62549,23.444181,page
-9.887315,34.66677,prevent
19.340761,17.994555,easy
-14.923645,-2.278986,manage
-20.753452,25.7295,advertise
-28.198837,28.991549,correspond
-3.265168,-9.117842,strongly
-0.26969722,4.632239,advise
0.6810368,13.302331,rent
